CompanyName,CompanyAlias,CompanyEntityId,Termination_Probability,Risk_Level,Actual_Status
Retirement Plan Solutions,0,327311,0.59581405,High,Active
"Strategic Wealth Endeavor, Inc.",0,539452,0.59581405,High,Active
Arkin | Youngentob – A Division of Risk Strategies,0,103748,0.59581405,High,Active
Investment Management Consultants,0,130673,0.59581405,High,Active
Linscomb & Williams,0,444207,0.59581405,High,Active
Sandra Gehler,0,390591,0.59581405,High,Active
"Scruggs Advisors, LLC",0,111328,0.59581405,High,Active
"Sittner & Nelson, LLC",0,375456,0.59581405,High,Active
Seventy2 Capital Wealth Management,0,396099,0.59581405,High,Active
Naviture,0,737453,0.59581405,High,Active
Baird Default Company,0,275680,0.59581405,High,Active
"Landmark Advisors, LLC.",0,341666,0.59581405,High,Active
Troutman & Associates Inc.,0,141267,0.59581405,High,Active
Jeremy D Hall,0,390699,0.59581405,High,Active
Jeremy D Hall,0,390699,0.59581405,High,Active
Watermark Wealth Strategies,0,435191,0.59581405,High,Active
Valenta Capital Management,0,176882,0.59581405,High,Active
The Smith & Colangelo Group,0,404722,0.59581405,High,Active
"Legacy Executive Benefits, LLC",0,116355,0.59581405,High,Active
"Nepsis, Inc",0,678106,0.59581405,High,Active
Ashwood Financial Partners,0,405298,0.59581405,High,Active
Financial Life Advisors,0,261095,0.59581405,High,Active
Atlas Advisors,0,544624,0.59581405,High,Active
Sandra Gehler,0,390591,0.59581405,High,Active
Balefire Wealth,0,437193,0.59581405,High,Active
Baird Default Company,0,275680,0.59581405,High,Active
Baird - Kathryn Nusbaum Institutional Consultant,0,553504,0.59581405,High,Active
Inflection Financial,0,742737,0.59581405,High,Active
Ironshore Financial,0,724985,0.59581405,High,Active
"Finspire, LLC",0,551932,0.59581405,High,Active
The Pension Professionals,0,115154,0.59581405,High,Active
"Karr Barth Administrators, Inc.",0,107862,0.59581405,High,Active
ARGI Investment Services,0,103009,0.59581405,High,Active
"Scruggs Advisors, LLC",0,111328,0.59581405,High,Active
"Scruggs Advisors, LLC",0,111328,0.59581405,High,Active
RETIREMENT VISIONS LLC,0,300326,0.59581405,High,Active
Fermata Advisors,0,640603,0.59581405,High,Active
Equanimity Wealth Management,0,364974,0.59581405,High,Active
Ironshore Financial,0,724985,0.59581405,High,Active
Leading Edge Wealth Advisors,0,397796,0.59581405,High,Active
"ISC Group, Inc.",0,391342,0.59581405,High,Active
Leading Edge Wealth Advisors,0,397796,0.59581405,High,Active
SWBC Investment Services,0,258982,0.59581405,High,Active
"Biddle Capital Management, Inc.",0,101715,0.59581405,High,Active
RetireRight,0,314283,0.59581405,High,Active
Risen Son Financial,0,385791,0.59581405,High,Active
Ridgeline Advisors,0,273405,0.59581405,High,Active
Jeffrey Walsh,0,402403,0.59581405,High,Active
Nicklas Financial Companies,0,109660,0.59581405,High,Active
NFP,0,249039,0.59581405,High,Active
Retirement Advocates,0,391598,0.59581405,High,Active
American Century Investments,Technology Partner,769589,0.59581405,High,Active
The George Group,0,390852,0.59581405,High,Active
Heartland Financial Resource Group,0,653182,0.59581405,High,Active
"Reedmark Advisors, LLC",0,253737,0.59581405,High,Active
"Redfield Financial Group, LLC",0,205420,0.59581405,High,Active
Clearview Wealth Partners,0,167373,0.59581405,High,Active
Clearview Wealth Partners,0,167373,0.59581405,High,Active
Advisor Resource Council,0,415809,0.59581405,High,Active
Retirement Advocates,0,391598,0.59581405,High,Active
Castle Financial LLC,0,633701,0.59581405,High,Active
OneDigital Investment Advisors LLC,0,232089,0.59581405,High,Active
"GFS Wealth Management Advisors, Inc.",0,105083,0.59581405,High,Active
Home Federal Bank of Tennessee,0,730078,0.59581405,High,Active
12 point Custom Scoring Sample,0,638297,0.59581405,High,Active
"Retirement Plan (k)onsultant, LLC.",0,116380,0.59581405,High,Active
Retirement Plan Solutions,0,327311,0.59581405,High,Active
Financial Life Advisors,0,261095,0.59581405,High,Active
E | Financial Alliance,0,752861,0.59581405,High,Active
Pendleton Financial,0,586374,0.59581405,High,Active
Pension Professionals,0,111509,0.59581405,High,Active
RBJ Wealth Management,0,330268,0.59581405,High,Active
Pension Professionals,0,111509,0.59581405,High,Active
RCM Wealth Advisors,0,450344,0.59581405,High,Active
Clearview Wealth Partners,0,167373,0.59581405,High,Active
Delaware Avenue Wealth Planners,0,472545,0.59581405,High,Active
Delaware Avenue Wealth Planners,0,472545,0.59581405,High,Active
Delaware Avenue Wealth Planners,0,472545,0.59581405,High,Active
Baird - Kathryn Nusbaum Institutional Consultant,0,553504,0.59581405,High,Active
Creighton Retirement Partners,0,161164,0.59581405,High,Active
Creighton Retirement Partners,0,161164,0.59581405,High,Active
Pierce Financial,0,111529,0.59581405,High,Active
Balefire Wealth,0,437193,0.59581405,High,Active
"Dakota Wealth, LLC",0,611506,0.59581405,High,Active
"Dakota Wealth, LLC",0,611506,0.59581405,High,Active
Creighton Retirement Partners,0,161164,0.59581405,High,Active
"Dakota Wealth, LLC",0,611506,0.59581405,High,Active
Delaware Avenue Wealth Planners,0,472545,0.59581405,High,Active
Wells Fargo Advisors Financial Network,0,210900,0.59581405,High,Active
Valenta Capital Management,0,176882,0.59581405,High,Active
E | Financial Alliance,0,752861,0.59581405,High,Active
Troutman & Associates Inc.,0,141267,0.59581405,High,Active
"Wealth Managing Partners, Inc.",0,279335,0.59581405,High,Active
Troutman & Associates Inc.,0,141267,0.59581405,High,Active
"Jacobs, Coolidge & Company, LLC",0,383140,0.59581405,High,Active
"Ivy Wealth Management, Inc",0,471678,0.59581405,High,Active
"J.J. Swanson Advisory Group, Inc.",0,229130,0.59581405,High,Active
"Karr Barth Administrators, Inc.",0,107862,0.59581405,High,Active
Strategic Retirement Partners - Columbus,0,113559,0.59581405,High,Terminated
"Sapers & Wallack, Inc.",0,126145,0.59148175,High,Terminated
Plan Design Consultants,0,109813,0.59148175,High,Terminated
Paradigm Group,0,102842,0.59148175,High,Terminated
Shepherd Financial Partners,0,166724,0.59148175,High,Terminated
ASE Advisory Group,0,166806,0.59148175,High,Terminated
SLIA Employee Benefit & Insurance Services,0,131118,0.59148175,High,Terminated
"Sontag Advisory, LLC",0,191225,0.59148175,High,Terminated
First Western Trust Bank,0,102081,0.59148175,High,Terminated
COWAN  |  Retirement Services,0,107855,0.59148175,High,Terminated
Centennial Benefits An Alera Company,0,110393,0.59148175,High,Terminated
Trinity Retirement Solutions,0,564780,0.566336,High,Active
"Sovran Advisors, LLC",0,380030,0.566336,High,Active
"Vital Planning Group, LLC.",0,377415,0.5644058,High,Active
Lloyd - O'Sullivan Wealth Management,Commonwealth Financial Group,742743,0.5644058,High,Active
MassMutual Greater Philadelphia- Andrew Cardile,0,462876,0.5644058,High,Active
Entrepreneur Solutions Financial and Insurance Services,0,388467,0.5321483,High,Active
Creative Financial Strategies,0,378042,0.5321483,High,Active
Silicon Valley Financial Group,0,761255,0.5321483,High,Active
Baystate Financial- Rico Piatelli,0,470726,0.5321483,High,Active
First Financial Group,0,582411,0.5321483,High,Active
CapStone Partners - Utah,0,526762,0.5321483,High,Active
Creative Financial Strategies,0,378042,0.5321483,High,Active
Creative Financial Strategies,0,378042,0.5321483,High,Active
"Nexus Advisors, LLC",0,449604,0.5321483,High,Outstanding
Lenox Advisors,0,376386,0.5321483,High,Active
"Ravo Financial Strategies, LLC",0,114806,0.5321483,High,Active
On Generations Financial,0,398167,0.5321483,High,Outstanding
Commonwealth 401k Advisory,0,378933,0.5321483,High,Active
Pierce Financial,0,111529,0.5286257,High,Active
Pierce Financial,0,111529,0.5286257,High,Active
"R&R Wealth Management, LLC",0,590339,0.5286257,High,Active
Confluence Financial Partners,0,687400,0.5286257,High,Active
Cable Hill Partners,0,212446,0.5286257,High,Active
Pierce Financial,0,111529,0.5286257,High,Active
United Bank Wealth Management,0,627257,0.5286257,High,Active
"Biddle Capital Management, Inc.",0,101715,0.5286257,High,Active
Principal Financial Group- Matt Neff,0,116389,0.5286257,High,Outstanding
Creighton Retirement Partners,0,161164,0.5286257,High,Active
Preferred Pensions LLC,0,102939,0.5286257,High,Active
"Diversified Global Investment Strategies, LLC",0,104641,0.5286257,High,Active
"UMB Financial Services, Inc",0,107337,0.5286257,High,Active
Webber Advisors,0,569317,0.5286257,High,Active
Valenta Capital Management,0,176882,0.5286257,High,Active
"Biddle Capital Management, Inc.",0,101715,0.5286257,High,Active
"Benefit Planning Specialist, Inc.",0,112889,0.5286257,High,Active
"New England Retirement Consultants, LLC",0,465711,0.5286257,High,Active
"Biddle Capital Management, Inc.",0,101715,0.5286257,High,Active
Nicklas Financial Companies,0,109660,0.5286257,High,Active
Robert W. Baird & Co. Incorporated *,0,409561,0.5286257,High,Active
Blueprint Financial Corporation,0,285528,0.5286257,High,Active
IVC Wealth Advisors,0,114877,0.5286257,High,Active
Webber Advisors,0,569317,0.5286257,High,Active
Canary Wealth Strategies,0,281390,0.5286257,High,Active
Great Gray,Technology Partner,753061,0.5286257,High,Active
Fermata Advisors,0,640603,0.5286257,High,Active
Hoover and Associates Financial Services,0,261569,0.5286257,High,Active
Pension Professionals,0,111509,0.5286257,High,Active
Duncan Williams Asset Management,0,663798,0.5286257,High,Active
e² Retirement Consulting,0,104699,0.5286257,High,Active
Carson Wealth*,0,324853,0.5286257,High,Active
Old Port Advisors,0,549754,0.5286257,High,Active
Ashwood Financial Partners,0,405298,0.5286257,High,Active
"Element Wealth, LLC",0,239955,0.5286257,High,Active
AssetMark Retirement Services,0,341601,0.5286257,High,Active
Northwestern Mutual,0,328942,0.5286257,High,Active
Bruton Chisnell Advisors,0,134015,0.5286257,High,Active
Cable Hill Partners,0,212446,0.5286257,High,Active
"Retirement Consulting Group, Inc.",0,203837,0.5286257,High,Active
Castle Financial LLC,0,633701,0.5286257,High,Active
e² Retirement Consulting,0,104699,0.5286257,High,Active
"Element Wealth, LLC",0,239955,0.5286257,High,Active
"Acumen Wealth Advisors, LLC",0,221407,0.5286257,High,Active
AdvisorySouth,0,113517,0.5286257,High,Active
Relation Wealth Management,0,106636,0.5286257,High,Active
Spherient Advisors,0,108289,0.5286257,High,Active
LDI Advisers,0,728343,0.5286257,High,Active
INVST,0,659072,0.5286257,High,Active
INVST,0,659072,0.5286257,High,Active
"Scruggs Advisors, LLC",0,111328,0.5286257,High,Active
Savant Wealth Management,0,335082,0.5286257,High,Active
"Levine Group, Inc.",0,105815,0.5286257,High,Active
Ashwood Financial Partners,0,405298,0.5286257,High,Active
Great Gray,Technology Partner,753061,0.5286257,High,Active
"Acumen Wealth Advisors, LLC",0,221407,0.5286257,High,Active
"Advanced Strategies Group, LLC",0,168436,0.5286257,High,Active
AdvisorySouth,0,113517,0.5286257,High,Active
"Schneider Downs Wealth Management Advisors, LP",0,103046,0.5286257,High,Active
AssetMark Retirement Services,0,341601,0.5286257,High,Active
Savant Wealth Management,0,335082,0.5286257,High,Active
Savant Wealth Management,0,335082,0.5286257,High,Active
Arista Consulting Group,0,618306,0.5286257,High,Active
"LBG Advisors, LLC",0,136186,0.5286257,High,Active
"LBG Advisors, LLC",0,136186,0.5286257,High,Active
"Legacy Executive Benefits, LLC",0,116355,0.5286257,High,Active
United Bank Wealth Management,0,627257,0.5286257,High,Active
Latus Group,0,109416,0.5286257,High,Active
Baird Default Company,0,275680,0.5286257,High,Active
RCM Wealth Advisors,0,450344,0.5286257,High,Active
"Dravo Bay, LLC DBA Blue Rock Financial Group",0,507942,0.5286257,High,Active
"Davenport & Company, LLC",0,410163,0.5286257,High,Active
Pointer Financial Group,0,556109,0.5286257,High,Active
"CorpFinancial, LLC",0,653473,0.5286257,High,Active
Duncan Williams Asset Management,0,663798,0.5286257,High,Active
Valenta Capital Management,0,176882,0.5286257,High,Active
e² Retirement Consulting,0,104699,0.5286257,High,Active
"Dravo Bay, LLC DBA Blue Rock Financial Group",0,507942,0.5286257,High,Active
"Karr Barth Administrators, Inc.",0,107862,0.5286257,High,Active
Springs Wealth Group,0,754853,0.5286257,High,Active
Inflection Financial,0,742737,0.5286257,High,Active
Springs Wealth Group,0,754853,0.5286257,High,Active
Stephens Capital Management,0,664544,0.5286257,High,Active
Northwestern Mutual,0,328942,0.5286257,High,Active
Monarch Plan Advisors,0,171697,0.5286257,High,Active
Gutierrez Wealth Advisory,0,581683,0.5286257,High,Active
Monarch Plan Advisors,0,171697,0.5286257,High,Active
Kidder Advisers,0,669123,0.5286257,High,Active
Woodruff-Sawyer,0,577874,0.5286257,High,Active
The Pension Professionals,0,115154,0.5286257,High,Active
The Smith & Colangelo Group,0,404722,0.5286257,High,Active
Wellspring Financial Partners,0,107501,0.5286257,High,Active
"M. E. Allison & Co., Inc.",0,532005,0.5286257,High,Active
"Mack Financial Group, Inc.",0,648498,0.5286257,High,Active
"Retirement Consulting Group, Inc.",0,203837,0.5286257,High,Active
Accelerate Retirement - Blair Stientjes,0,626637,0.5286257,High,Active
Pierce Financial,0,111529,0.5286257,High,Active
"Jacobs, Coolidge & Company, LLC",0,383140,0.5286257,High,Active
SWBC Investment Services,0,258982,0.5286257,High,Active
Robert W. Baird & Co. Incorporated *,0,409561,0.5286257,High,Active
"The Financial Resource Center, Inc.",0,129910,0.5286257,High,Active
Hoover and Associates Financial Services,0,261569,0.5286257,High,Active
Pointer Financial Group,0,556109,0.5286257,High,Active
Accelerate Retirement - Blair Stientjes,0,626637,0.5286257,High,Active
Ameritas Investment Company,0,721255,0.5286257,High,Active
AdvisorySouth,0,113517,0.5286257,High,Active
"Legacy Executive Benefits, LLC",0,116355,0.5286257,High,Active
Seventy2 Capital Wealth Management,0,396099,0.5286257,High,Active
Latus Group,0,109416,0.5286257,High,Active
Ashwood Financial Partners,0,405298,0.5286257,High,Active
INVST,0,659072,0.5286257,High,Active
"Stiles Financial Services, Inc.",0,113446,0.5286257,High,Active
Regal Financial,0,569864,0.52012527,High,Active
Bolotin Financial Group,0,331318,0.52012527,High,Active
"Lau & Lau Associates, LLC",0,330783,0.52012527,High,Active
The Fischetti Barry Family Wealth Planning Group,0,559359,0.48430252,Medium,Active
Mariner Wealth Advisors,0,106523,0.47494355,Medium,Active
Mariner Wealth Advisors,0,106523,0.47494355,Medium,Active
Strategic Retirement Partners,0,103464,0.47494355,Medium,Active
"The Baldwin Group Wealth Advisers, LLC",0,604642,0.47494355,Medium,Active
Fiducient Advisors,0,471552,0.47494355,Medium,Active
Fiducient Advisors,0,471552,0.47494355,Medium,Active
Strategic Retirement Partners,0,103464,0.47494355,Medium,Active
"The BlackOak Group, LLC",0,160196,0.418442,Medium,Active
FinTrust Capital Advisors,0,259515,0.418442,Medium,Active
Bruton Chisnell Advisors,0,134015,0.418442,Medium,Active
"Financial Integrity Resource Management, LLC",0,291887,0.418442,Medium,Active
First Security Bank,0,284845,0.418442,Medium,Active
United Capital Retirement Advisors,0,106669,0.418442,Medium,Active
Hickok & Boardman Retirement Solutions,0,118876,0.418442,Medium,Terminated
John Hancock Financial Network Home Office,0,109279,0.418442,Medium,Terminated
Rogers Financial,0,106818,0.418442,Medium,Terminated
Kidder Advisers,0,669123,0.418442,Medium,Active
Sentry,0,257476,0.418442,Medium,Terminated
"Signator Investors, Inc.",0,107012,0.418442,Medium,Terminated
Spaeth Barrett Group,0,190895,0.418442,Medium,Terminated
"Diversified Global Investment Strategies, LLC",0,104641,0.418442,Medium,Active
Peter Foy & Associates,0,233620,0.418442,Medium,Active
Preferred Pensions LLC,0,102939,0.418442,Medium,Active
"Diversified Global Investment Strategies, LLC",0,104641,0.418442,Medium,Active
Accelerate Retirement - Eric Carlson,0,531191,0.418442,Medium,Active
"Gallagher Benefit Services, Inc.",0,105638,0.418442,Medium,Active
"Freund & Co. Investment Advisors, L.C.",0,128689,0.418442,Medium,Active
NFP,0,249039,0.418442,Medium,Active
Fiducient Advisors,0,471552,0.418442,Medium,Active
Abbey Street,0,269580,0.418442,Medium,Active
"Retirement Plan (k)onsultant, LLC.",0,116380,0.418442,Medium,Active
Bruton Chisnell Advisors,0,134015,0.418442,Medium,Active
"The Baldwin Group Wealth Advisers, LLC",0,604642,0.418442,Medium,Active
Ironwood Retirement Plan Consultants,0,105471,0.418442,Medium,Active
Risen Son Financial,0,385791,0.418442,Medium,Active
"Hantz Financial Services, Inc",0,274194,0.418442,Medium,Active
Abbey Street,0,269580,0.418442,Medium,Active
"Spay & Associates, Inc.",0,117559,0.418442,Medium,Active
"Freund & Co. Investment Advisors, L.C.",0,128689,0.418442,Medium,Active
MMA Securities LLC,0,104526,0.418442,Medium,Active
"Gallagher Benefit Services, Inc.",0,105638,0.418442,Medium,Active
Seven Springs Wealth Group,0,116402,0.418442,Medium,Active
Seven Springs Wealth Group,0,116402,0.418442,Medium,Active
Arthur J. Gallagher,0,112950,0.418442,Medium,Active
Seven Springs Wealth Group,0,116402,0.418442,Medium,Active
United Capital Retirement Advisors,0,106669,0.418442,Medium,Active
FinTrust Capital Advisors,0,259515,0.418442,Medium,Active
Waypoint Financial Advisors,0,181318,0.418442,Medium,Active
Midlands Financial,0,242077,0.418442,Medium,Active
MMA Securities LLC,0,104526,0.418442,Medium,Active
MMA Securities LLC,0,104526,0.418442,Medium,Active
Magis Advisory Group,0,410553,0.418442,Medium,Active
Morgan Planning Group,0,348579,0.418442,Medium,Active
Midlands Financial,0,242077,0.418442,Medium,Active
"Gerber, LLC",0,444356,0.418442,Medium,Active
